Id,Designation,Size,CategoryType,SubCategory,Material,Comment,G,h,b,tw,tf,r,d,cw/tw,cf/tf,C,N,n,m2/m1,m2/T,Iy,Iz,iy,iz,Wely,Welz,Wply,Wplz,U,X,Iw,IT,A,e0,r1,r2,cy,cz,Iu,Iv,iu,iv,φa min,φa max,Tan α,φa,d/t,Wt,c/t
,762x267x147 UB,,I,UK,Steel,-,146.9,754,265.2,12.8,17.5,16.5,686,53.6,6.27,8,138,34,2.51,17.1,169000,5460,30,5.4,4470,411,5160,647,0.858,45.2,7.4,159,187,,,,,,,,,,,,,,,,
,762x267x134 UB,,I,UK,Steel,-,133.9,750,264.4,12,15.5,16.5,686,57.2,7.08,8,138,32,2.51,18.7,151000,4790,29.7,5.3,4020,362,4640,570,0.853,49.8,6.46,119,171,,,,,,,,,,,,,,,,
,686x254x170 UB,,I,UK,Steel,-,170.2,692.9,255.8,14.5,23.7,15.2,615.1,42.4,4.45,9,132,40,2.35,13.8,170000,6630,28,5.53,4920,518,5630,811,0.872,31.8,7.42,308,217,,,,,,,,,,,,,,,,
,686x254x152 UB,,I,UK,Steel,-,152.4,687.5,254.5,13.2,21,15.2,615.1,46.6,5.02,9,132,38,2.34,15.4,150000,5780,27.8,5.46,4370,455,5000,710,0.871,35.4,6.42,220,194,,,,,,,,,,,,,,,,
,686x254x140 UB,,I,UK,Steel,-,140.1,683.5,253.7,12.4,19,15.2,615.1,49.6,5.55,8,132,36,2.33,16.6,136000,5180,27.6,5.39,3990,409,4560,638,0.87,38.6,5.72,169,178,,,,,,,,,,,,,,,,
,686x254x125 UB,,I,UK,Steel,-,125.2,677.9,253,11.7,16.2,15.2,615.1,52.6,6.51,8,132,32,2.32,18.5,118000,4380,27.2,5.24,3480,346,3990,542,0.863,43.8,4.8,116,159,,,,,,,,,,,,,,,,
,610x305x238 UB,,I,UK,Steel,-,238.1,635.8,311.4,18.4,31.4,16.5,540,29.3,4.14,11,158,48,2.45,10.3,209000,15800,26.3,7.23,6590,1020,7490,1570,0.886,21.3,14.5,785,303,,,,,,,,,,,,,,,,
,610x305x179 UB,,I,UK,Steel,-,179,620.2,307.1,14.1,23.6,16.5,540,38.3,5.51,9,158,42,2.41,13.5,153000,11400,25.9,7.07,4930,743,5550,1140,0.885,27.7,10.2,340,228,,,,,,,,,,,,,,,,
,610x305x149 UB,,I,UK,Steel,-,149.2,612.4,304.8,11.8,19.7,16.5,540,45.8,6.6,8,158,38,2.39,16,126000,9310,25.7,7,4110,611,4590,937,0.886,32.7,8.17,200,190,,,,,,,,,,,,,,,,
,610x229x140 UB,,I,UK,Steel,-,139.9,617.2,230.2,13.1,22.1,12.7,547.6,41.8,4.34,9,120,36,2.11,15.1,112000,4510,25,5.03,3620,391,4140,611,0.875,30.6,3.99,216,178,,,,,,,,,,,,,,,,
