Id,Designation,Size,CategoryType,SubCategory,Material,Comment,G,h,b,tw,tf,r,d,cw/tw,cf/tf,C,N,n,m2/m1,m2/T,Iy,Iz,iy,iz,Wely,Welz,Wply,Wplz,U,X,Iw,IT,A,e0,r1,r2,cy,cz,Iu,Iv,iu,iv,?a min,?a max,Tan ?,?a,d/t,Wt,c/t
,260x260x10 SHS,,R,UK,Steel,-,77.7,260,260,10,10,,,,,,,,1.01,13,10200,10200,10.2,10.2,788,788,924,924,,,,15900,98.9,,,,,,,,,,,,,,,1160,23
,260x260x12.5 SHS,,R,UK,Steel,-,95.8,260,260,12.5,12.5,,,,,,,,1.01,10.5,12400,12400,10.1,10.1,951,951,1130,1130,,,,19400,122,,,,,,,,,,,,,,,1390,17.8
,260x260x14.2 SHS,,R,UK,Steel,-,108,260,260,14.2,14.2,,,,,,,,1,9.27,13700,13700,9.99,9.99,1060,1060,1260,1260,,,,21700,137,,,,,,,,,,,,,,,1540,15.3
,260x260x16 SHS,,R,UK,Steel,-,120,260,260,16,16,,,,,,,,0.999,8.29,15100,15100,9.91,9.91,1160,1160,1390,1390,,,,23900,153,,,,,,,,,,,,,,,1690,13.3
,300x300x6.3 SHS,,R,UK,Steel,-,57.8,300,300,6.3,6.3,,,,,,,,1.18,20.4,10500,10500,12,12,703,703,809,809,,,,16100,73.6,,,,,,,,,,,,,,,1040,44.6
,300x300x7.1 SHS,,R,UK,Steel,-,64.9,300,300,7.1,7.1,,,,,,,,1.18,18.2,11800,11800,11.9,11.9,785,785,906,906,,,,18100,82.6,,,,,,,,,,,,,,,1160,39.3
,300x300x8 SHS,,R,UK,Steel,-,72.8,300,300,8,8,,,,,,,,1.18,16.2,13100,13100,11.9,11.9,875,875,1010,1010,,,,20200,92.8,,,,,,,,,,,,,,,1290,34.5
,300x300x8.8 SHS,,R,UK,Steel,-,79.8,300,300,8.8,8.8,,,,,,,,1.18,14.8,14300,14300,11.9,11.9,954,954,1110,1110,,,,22100,102,,,,,,,,,,,,,,,1410,31.1
,300x300x10 SHS,,R,UK,Steel,-,90.2,300,300,10,10,,,,,,,,1.17,13,16000,16000,11.8,11.8,1070,1070,1250,1250,,,,24800,115,,,,,,,,,,,,,,,1580,27
,300x300x12.5 SHS,,R,UK,Steel,-,112,300,300,12.5,12.5,,,,,,,,1.17,10.5,19400,19400,11.7,11.7,1300,1300,1530,1530,,,,30300,142,,,,,,,,,,,,,,,1900,21
,300x300x14.2 SHS,,R,UK,Steel,-,126,300,300,14.2,14.2,,,,,,,,1.16,9.22,21600,21600,11.6,11.6,1440,1440,1710,1710,,,,33900,160,,,,,,,,,,,,,,,2110,18.1
,300x300x16 SHS,,R,UK,Steel,-,141,300,300,16,16,,,,,,,,1.16,8.26,23900,23900,11.5,11.5,1590,1590,1900,1900,,,,37600,179,,,,,,,,,,,,,,,2330,15.8
,350x350x8 SHS,,R,UK,Steel,-,85.4,350,350,8,8,,,,,,,,1.38,16.1,21100,21100,13.9,13.9,1210,1210,1390,1390,,,,32400,109,,,,,,,,,,,,,,,1790,40.8
,350x350x8.8 SHS,,R,UK,Steel,-,93.6,350,350,8.8,8.8,,,,,,,,1.38,14.8,23100,23100,13.9,13.9,1320,1320,1520,1520,,,,35400,119,,,,,,,,,,,,,,,1950,36.8
,350x350x10 SHS,,R,UK,Steel,-,106,350,350,10,10,,,,,,,,1.37,12.9,25900,25900,13.9,13.9,1480,1480,1720,1720,,,,39900,135,,,,,,,,,,,,,,,2190,32
,350x350x12.5 SHS,,R,UK,Steel,-,131,350,350,12.5,12.5,,,,,,,,1.37,10.4,31500,31500,13.7,13.7,1800,1800,2110,2110,,,,48900,167,,,,,,,,,,,,,,,2650,25
,350x350x14.2 SHS,,R,UK,Steel,-,148,350,350,14.2,14.2,,,,,,,,1.36,9.19,35200,35200,13.7,13.7,2010,2010,2360,2360,,,,54900,189,,,,,,,,,,,,,,,2960,21.6
,350x350x16 SHS,,R,UK,Steel,-,166,350,350,16,16,,,,,,,,1.36,8.21,38900,38900,13.6,13.6,2230,2230,2630,2630,,,,61000,211,,,,,,,,,,,,,,,3260,18.9
,400x400x8 SHS,,R,UK,Steel,-,97.9,400,400,8,8,,,,,,,,1.58,16.1,31900,31900,16,16,1590,1590,1830,1830,,,,48700,125,,,,,,,,,,,,,,,2360,47
,400x400x8.8 SHS,,R,UK,Steel,-,107,400,400,8.8,8.8,,,,,,,,1.58,14.7,34800,34800,15.9,15.9,1740,1740,2000,2000,,,,53300,137,,,,,,,,,,,,,,,2580,42.5
,400x400x10 SHS,,R,UK,Steel,-,122,400,400,10,10,,,,,,,,1.57,12.9,39100,39100,15.9,15.9,1960,1960,2260,2260,,,,60100,155,,,,,,,,,,,,,,,2900,37
,400x400x12.5 SHS,,R,UK,Steel,-,151,400,400,12.5,12.5,,,,,,,,1.57,10.4,47800,47800,15.8,15.8,2390,2390,2780,2780,,,,73900,192,,,,,,,,,,,,,,,3530,29
,400x400x14.2 SHS,,R,UK,Steel,-,170,400,400,14.2,14.2,,,,,,,,1.56,9.16,53500,53500,15.7,15.7,2680,2680,3130,3130,,,,83000,217,,,,,,,,,,,,,,,3940,25.2
,400x400x16 SHS,,R,UK,Steel,-,191,400,400,16,16,,,,,,,,1.56,8.17,59300,59300,15.6,15.6,2970,2970,3480,3480,,,,92400,243,,,,,,,,,,,,,,,4360,22
,400x400x20 SHS,,R,UK,Steel,-,235,400,400,20,20,,,,,,,,1.55,6.59,71500,71500,15.4,15.4,3580,3580,4250,4250,,,,112000,300,,,,,,,,,,,,,,,5240,17
,50x30x3 RHS,,R,UK,Steel,-,3.41,50,30,3,3,,,13.7,7,,,,0.152,44.5,13.6,5.94,1.77,1.17,5.43,3.96,6.88,4.76,,,,13.5,4.34,,,,,,,,,,,,,,,6.51,
,50x30x3.2 RHS,,R,UK,Steel,-,3.61,50,30,3.2,3.2,,,12.6,6.37,,,,0.152,42.1,14.2,6.2,1.76,1.16,5.68,4.13,7.25,5,,,,14.2,4.6,,,,,,,,,,,,,,,6.8,
,50x30x3.6 RHS,,R,UK,Steel,-,4.01,50,30,3.6,3.6,,,10.9,5.33,,,,0.151,37.8,15.4,6.67,1.74,1.14,6.16,4.45,7.94,5.46,,,,15.4,5.1,,,,,,,,,,,,,,,7.31,
,50x30x4 RHS,,R,UK,Steel,-,4.39,50,30,4,4,,,9.5,4.5,,,,0.15,34.2,16.5,7.08,1.72,1.13,6.6,4.72,8.59,5.88,,,,16.6,5.59,,,,,,,,,,,,,,,7.77,
,50x30x5 RHS,,R,UK,Steel,-,5.28,50,30,5,5,,,7,3,,,,0.147,27.8,18.7,7.89,1.67,1.08,7.49,5.26,10,6.8,,,,19,6.73,,,,,,,,,,,,,,,8.67,
,60x40x3 RHS,,R,UK,Steel,-,4.35,60,40,3,3,,,17,10.3,,,,0.192,44.2,26.5,13.9,2.18,1.58,8.82,6.95,10.9,8.19,,,,29.2,5.54,,,,,,,,,,,,,,,11.2,
,60x40x3.2 RHS,,R,UK,Steel,-,4.62,60,40,3.2,3.2,,,15.7,9.5,,,,0.192,41.7,27.8,14.6,2.18,1.57,9.27,7.29,11.5,8.64,,,,30.8,5.88,,,,,,,,,,,,,,,11.7,
,60x40x3.6 RHS,,R,UK,Steel,-,5.14,60,40,3.6,3.6,,,13.7,8.11,,,,0.191,37.2,30.4,15.9,2.16,1.56,10.1,7.93,12.7,9.5,,,,33.8,6.54,,,,,,,,,,,,,,,12.8,
,60x40x4 RHS,,R,UK,Steel,-,5.64,60,40,4,4,,,12,7,,,,0.19,33.6,32.8,17,2.14,1.54,10.9,8.52,13.8,10.3,,,,36.7,7.19,,,,,,,,,,,,,,,13.7,
,60x40x5 RHS,,R,UK,Steel,-,6.85,60,40,5,5,,,9,5,,,,0.187,27.3,38.1,19.5,2.09,1.5,12.7,9.77,16.4,12.2,,,,43,8.73,,,,,,,,,,,,,,,15.7,
,60x40x6.3 RHS,,R,UK,Steel,-,8.31,60,40,6.3,6.3,,,6.52,3.35,,,,0.184,22.1,43.4,21.9,2.02,1.44,14.5,11,19.2,14.2,,,,49.5,10.6,,,,,,,,,,,,,,,17.6,
,80x40x3 RHS,,R,UK,Steel,-,5.29,80,40,3,3,,,23.7,10.3,,,,0.232,43.8,54.2,18,2.84,1.63,13.6,9,17.1,10.4,,,,43.8,6.74,,,,,,,,,,,,,,,15.3,
,80x40x3.2 RHS,,R,UK,Steel,-,5.62,80,40,3.2,3.2,,,22,9.5,,,,0.232,41.3,57.2,18.9,2.83,1.63,14.3,9.46,18,11,,,,46.2,7.16,,,,,,,,,,,,,,,16.1,
,80x40x3.6 RHS,,R,UK,Steel,-,6.27,80,40,3.6,3.6,,,19.2,8.11,,,,0.231,37,62.8,20.6,2.81,1.61,15.7,10.3,20,12.1,,,,50.8,7.98,,,,,,,,,,,,,,,17.5,
,80x40x4 RHS,,R,UK,Steel,-,6.9,80,40,4,4,,,17,7,,,,0.23,33.4,68.2,22.2,2.79,1.59,17.1,11.1,21.8,13.2,,,,55.2,8.79,,,,,,,,,,,,,,,18.9,
,80x40x5 RHS,,R,UK,Steel,-,8.42,80,40,5,5,,,13,5,,,,0.227,27,80.3,25.7,2.74,1.55,20.1,12.9,26.1,15.7,,,,65.1,10.7,,,,,,,,,,,,,,,21.9,
,80x40x6.3 RHS,,R,UK,Steel,-,10.3,80,40,6.3,6.3,,,9.7,3.35,,,,0.224,21.8,93.3,29.2,2.67,1.49,23.3,14.6,31.1,18.4,,,,75.6,13.1,,,,,,,,,,,,,,,24.8,
,80x40x7.1 RHS,,R,UK,Steel,-,11.4,80,40,7.1,7.1,,,8.27,2.63,,,,0.222,19.5,99.8,30.7,2.63,1.46,25,15.4,33.8,19.8,,,,80.9,14.5,,,,,,,,,,,,,,,26.2,
,80x40x8 RHS,,R,UK,Steel,-,12.5,80,40,8,8,,,7,2,,,,0.219,17.5,106,32.1,2.58,1.42,26.5,16.1,36.5,21.2,,,,85.8,16,,,,,,,,,,,,,,,27.4,
,90x50x3 RHS,,R,UK,Steel,-,6.24,90,50,3,3,,,27,13.7,,,,0.272,43.5,84.4,33.5,3.26,2.05,18.8,13.4,23.2,15.3,,,,76.5,7.94,,,,,,,,,,,,,,,22.4,
,90x50x3.2 RHS,,R,UK,Steel,-,6.63,90,50,3.2,3.2,,,25.1,12.6,,,,0.272,41.1,89.1,35.3,3.25,2.04,19.8,14.1,24.6,16.2,,,,80.9,8.44,,,,,,,,,,,,,,,23.6,
,90x50x3.6 RHS,,R,UK,Steel,-,7.4,90,50,3.6,3.6,,,22,10.9,,,,0.271,36.6,98.3,38.7,3.23,2.03,21.8,15.5,27.2,18,,,,89.4,9.42,,,,,,,,,,,,,,,25.9,
,90x50x4 RHS,,R,UK,Steel,-,8.15,90,50,4,4,,,19.5,9.5,,,,0.27,33.2,107,41.9,3.21,2.01,23.8,16.8,29.8,19.6,,,,97.5,10.4,,,,,,,,,,,,,,,28,
,90x50x5 RHS,,R,UK,Steel,-,9.99,90,50,5,5,,,15,7,,,,0.267,26.7,127,49.2,3.16,1.97,28.3,19.7,36,23.5,,,,116,12.7,,,,,,,,,,,,,,,32.9,
,90x50x6.3 RHS,,R,UK,Steel,-,12.3,90,50,6.3,6.3,,,11.3,4.94,,,,0.264,21.5,150,57,3.1,1.91,33.3,22.8,43.2,28,,,,138,15.6,,,,,,,,,,,,,,,38.1,
,90x50x7.1 RHS,,R,UK,Steel,-,13.6,90,50,7.1,7.1,,,9.68,4.04,,,,0.262,19.3,162,60.9,3.06,1.88,36,24.4,47.2,30.5,,,,149,17.3,,,,,,,,,,,,,,,40.7,
,90x50x8 RHS,,R,UK,Steel,-,15,90,50,8,8,,,8.25,3.25,,,,0.259,17.2,174,64.6,3.01,1.84,38.6,25.8,51.4,32.9,,,,160,19.2,,,,,,,,,,,,,,,43.2,
,100x50x3 RHS,,R,UK,Steel,-,6.71,100,50,3,3,,,30.3,13.7,,,,0.292,43.5,110,36.8,3.58,2.08,21.9,14.7,27.3,16.8,,,,88.4,8.54,,,,,,,,,,,,,,,25,
,100x50x3.2 RHS,,R,UK,Steel,-,7.13,100,50,3.2,3.2,,,28.3,12.6,,,,0.292,40.9,116,38.8,3.57,2.07,23.2,15.5,28.9,17.7,,,,93.4,9.08,,,,,,,,,,,,,,,26.4,
,100x50x3.6 RHS,,R,UK,Steel,-,7.96,100,50,3.6,3.6,,,24.8,10.9,,,,0.291,36.7,128,42.6,3.55,2.05,25.6,17,32.1,19.6,,,,103,10.1,,,,,,,,,,,,,,,29,
,100x50x4 RHS,,R,UK,Steel,-,8.78,100,50,4,4,,,22,9.5,,,,0.29,33.1,140,46.2,3.53,2.03,27.9,18.5,35.2,21.5,,,,113,11.2,,,,,,,,,,,,,,,31.4,
,100x50x5 RHS,,R,UK,Steel,-,10.8,100,50,5,5,,,17,7,,,,0.287,26.6,167,54.3,3.48,1.99,33.3,21.7,42.6,25.8,,,,135,13.7,,,,,,,,,,,,,,,36.9,
,100x50x6.3 RHS,,R,UK,Steel,-,13.3,100,50,6.3,6.3,,,12.9,4.94,,,,0.284,21.4,197,63,3.42,1.93,39.4,25.2,51.3,30.8,,,,160,16.9,,,,,,,,,,,,,,,42.9,
,100x50x7.1 RHS,,R,UK,Steel,-,14.7,100,50,7.1,7.1,,,11.1,4.04,,,,0.282,19.2,214,67.5,3.38,1.9,42.7,27,56.3,33.5,,,,173,18.7,,,,,,,,,,,,,,,46,
,100x50x8 RHS,,R,UK,Steel,-,16.3,100,50,8,8,,,9.5,3.25,,,,0.279,17.1,230,71.7,3.33,1.86,46,28.7,61.4,36.3,,,,186,20.8,,,,,,,,,,,,,,,48.9,
,100x50x8.8 RHS,,R,UK,Steel,-,17.6,100,50,8.8,8.8,,,8.36,2.68,,,,0.277,15.7,243,74.8,3.29,1.82,48.5,29.9,65.6,38.5,,,,197,22.5,,,,,,,,,,,,,,,51.1,
,100x50x10 RHS,,R,UK,Steel,-,19.6,100,50,10,10,,,7,2,,,,0.274,14,259,78.4,3.22,1.77,51.8,31.4,71.2,41.4,,,,209,24.9,,,,,,,,,,,,,,,53.6,
,100x60x3 RHS,,R,UK,Steel,-,7.18,100,60,3,3,,,30.3,17,,,,0.312,43.4,124,55.7,3.68,2.47,24.7,18.6,30.2,21.2,,,,121,9.14,,,,,,,,,,,,,,,30.7,
,100x60x3.2 RHS,,R,UK,Steel,-,7.63,100,60,3.2,3.2,,,28.3,15.7,,,,0.312,40.9,131,58.8,3.67,2.46,26.2,19.6,32,22.4,,,,129,9.72,,,,,,,,,,,,,,,32.4,
,100x60x3.6 RHS,,R,UK,Steel,-,8.53,100,60,3.6,3.6,,,24.8,13.7,,,,0.311,36.4,145,64.8,3.65,2.44,28.9,21.6,35.6,24.9,,,,142,10.9,,,,,,,,,,,,,,,35.6,
,100x60x4 RHS,,R,UK,Steel,-,9.41,100,60,4,4,,,22,12,,,,0.31,32.9,158,70.5,3.63,2.43,31.6,23.5,39.1,27.3,,,,156,12,,,,,,,,,,,,,,,38.7,
,100x60x5 RHS,,R,UK,Steel,-,11.6,100,60,5,5,,,17,9,,,,0.307,26.6,189,83.6,3.58,2.38,37.8,27.9,47.4,32.9,,,,188,14.7,,,,,,,,,,,,,,,45.9,
,100x60x6.3 RHS,,R,UK,Steel,-,14.2,100,60,6.3,6.3,,,12.9,6.52,,,,0.304,21.3,225,98.1,3.52,2.33,45,32.7,57.3,39.5,,,,224,18.1,,,,,,,,,,,,,,,53.8,
,100x60x7.1 RHS,,R,UK,Steel,-,15.8,100,60,7.1,7.1,,,11.1,5.45,,,,0.302,19.1,244,106,3.48,2.29,48.8,35.3,62.9,43.2,,,,245,20.2,,,,,,,,,,,,,,,58,
,100x60x8 RHS,,R,UK,Steel,-,17.5,100,60,8,8,,,9.5,4.5,,,,0.299,17,264,113,3.44,2.25,52.8,37.8,68.7,47.1,,,,265,22.4,,,,,,,,,,,,,,,62.2,
,100x60x8.8 RHS,,R,UK,Steel,-,19,100,60,8.8,8.8,,,8.36,3.82,,,,0.297,15.6,279,119,3.4,2.22,55.9,39.7,73.6,50.2,,,,282,24.2,,,,,,,,,,,,,,,65.4,
,100x60x10 RHS,,R,UK,Steel,-,21.1,100,60,10,10,,,7,3,,,,0.294,13.9,299,126,3.33,2.16,59.9,42.1,80.2,54.4,,,,304,26.9,,,,,,,,,,,,,,,69.3,
,120x60x3 RHS,,R,UK,Steel,-,8.12,120,60,3,3,,,37,17,,,,0.352,43.3,194,65.5,4.33,2.52,32.3,21.8,40,24.6,,,,156,10.3,,,,,,,,,,,,,,,37.2,
,120x60x3.2 RHS,,R,UK,Steel,-,8.64,120,60,3.2,3.2,,,34.5,15.7,,,,0.352,40.8,205,69.2,4.32,2.51,34.2,23.1,42.4,26.1,,,,165,11,,,,,,,,,,,,,,,39.2,
,120x60x3.6 RHS,,R,UK,Steel,-,9.66,120,60,3.6,3.6,,,30.3,13.7,,,,0.351,36.5,227,76.3,4.3,2.49,37.9,25.4,47.2,28.9,,,,183,12.3,,,,,,,,,,,,,,,43.3,
,120x60x4 RHS,,R,UK,Steel,-,10.7,120,60,4,4,,,27,12,,,,0.35,32.8,249,83.1,4.28,2.47,41.5,27.7,51.9,31.7,,,,201,13.6,,,,,,,,,,,,,,,47.1,
,120x60x5 RHS,,R,UK,Steel,-,13.1,120,60,5,5,,,21,9,,,,0.347,26.4,299,98.8,4.23,2.43,49.9,32.9,63.1,38.4,,,,242,16.7,,,,,,,,,,,,,,,56,
,120x60x6.3 RHS,,R,UK,Steel,-,16.2,120,60,6.3,6.3,,,16,6.52,,,,0.344,21.2,358,116,4.16,2.37,59.7,38.8,76.7,46.3,,,,290,20.7,,,,,,,,,,,,,,,65.9,
,120x60x7.1 RHS,,R,UK,Steel,-,18.1,120,60,7.1,7.1,,,13.9,5.45,,,,0.342,18.9,391,126,4.12,2.34,65.2,41.9,84.4,50.8,,,,317,23,,,,,,,,,,,,,,,71.3,
,120x60x8 RHS,,R,UK,Steel,-,20.1,120,60,8,8,,,12,4.5,,,,0.339,16.9,425,135,4.08,2.3,70.8,45,92.7,55.4,,,,344,25.6,,,,,,,,,,,,,,,76.6,
,120x60x8.8 RHS,,R,UK,Steel,-,21.8,120,60,8.8,8.8,,,10.6,3.82,,,,0.337,15.5,452,142,4.04,2.27,75.3,47.5,99.6,59.2,,,,366,27.8,,,,,,,,,,,,,,,80.8,
,120x60x10 RHS,,R,UK,Steel,-,24.3,120,60,10,10,,,9,3,,,,0.334,13.8,488,152,3.97,2.21,81.4,50.5,109,64.4,,,,396,30.9,,,,,,,,,,,,,,,86.1,
,120x60x12.5 RHS,,R,UK,Steel,-,29.1,120,60,12.5,12.5,,,6.6,1.8,,,,0.328,11.3,546,165,3.84,2.11,91.1,54.9,126,73.1,,,,442,37.1,,,,,,,,,,,,,,,93.8,
,120x80x3.6 RHS,,R,UK,Steel,-,10.8,120,80,3.6,3.6,,,30.3,19.2,,,,0.391,36.2,276,147,4.48,3.27,46,36.7,55.6,42,,,,301,13.7,,,,,,,,,,,,,,,59.5,
,120x80x4 RHS,,R,UK,Steel,-,11.9,120,80,4,4,,,27,17,,,,0.39,32.7,303,161,4.46,3.25,50.4,40.2,61.2,46.1,,,,330,15.2,,,,,,,,,,,,,,,65,
,120x80x5 RHS,,R,UK,Steel,-,14.7,120,80,5,5,,,21,13,,,,0.387,26.3,365,193,4.42,3.21,60.9,48.2,74.6,56.1,,,,401,18.7,,,,,,,,,,,,,,,77.9,
,120x80x6.3 RHS,,R,UK,Steel,-,18.2,120,80,6.3,6.3,,,16,9.7,,,,0.384,21.1,440,230,4.36,3.15,73.3,57.6,91,68.2,,,,487,23.2,,,,,,,,,,,,,,,92.9,
,120x80x7.1 RHS,,R,UK,Steel,-,20.3,120,80,7.1,7.1,,,13.9,8.27,,,,0.382,18.8,482,251,4.32,3.12,80.3,62.8,100,75.2,,,,535,25.8,,,,,,,,,,,,,,,101,
,120x80x8 RHS,,R,UK,Steel,-,22.6,120,80,8,8,,,12,7,,,,0.379,16.8,525,273,4.27,3.08,87.5,68.1,111,82.6,,,,587,28.8,,,,,,,,,,,,,,,110,
,120x80x8.8 RHS,,R,UK,Steel,-,24.5,120,80,8.8,8.8,,,10.6,6.09,,,,0.377,15.3,561,290,4.24,3.04,93.5,72.4,119,88.7,,,,629,31.3,,,,,,,,,,,,,,,117,
,120x80x10 RHS,,R,UK,Steel,-,27.4,120,80,10,10,,,9,5,,,,0.374,13.7,609,313,4.18,2.99,102,78.1,131,97.3,,,,688,34.9,,,,,,,,,,,,,,,126,
,120x80x12.5 RHS,,R,UK,Steel,-,33,120,80,12.5,12.5,,,6.6,3.4,,,,0.368,11.2,692,349,4.05,2.88,115,87.4,153,113,,,,789,42.1,,,,,,,,,,,,,,,141,
,150x100x4 RHS,,R,UK,Steel,-,15.1,150,100,4,4,,,34.5,22,,,,0.49,32.5,607,324,5.63,4.11,81,64.8,97.4,73.6,,,,660,19.2,,,,,,,,,,,,,,,105,
,150x100x5 RHS,,R,UK,Steel,-,18.6,150,100,5,5,,,27,17,,,,0.487,26.2,739,392,5.58,4.07,98.5,78.5,119,90.1,,,,807,23.7,,,,,,,,,,,,,,,127,
,150x100x6.3 RHS,,R,UK,Steel,-,23.1,150,100,6.3,6.3,,,20.8,12.9,,,,0.484,20.9,898,474,5.52,4.01,120,94.8,147,110,,,,986,29.5,,,,,,,,,,,,,,,153,
,150x100x7.1 RHS,,R,UK,Steel,-,25.9,150,100,7.1,7.1,,,18.1,11.1,,,,0.482,18.7,990,520,5.48,3.97,132,104,163,122,,,,1090,32.9,,,,,,,,,,,,,,,168,
,150x100x8 RHS,,R,UK,Steel,-,28.9,150,100,8,8,,,15.8,9.5,,,,0.479,16.6,1090,569,5.44,3.94,145,114,180,135,,,,1200,36.8,,,,,,,,,,,,,,,183,
,150x100x8.8 RHS,,R,UK,Steel,-,31.5,150,100,8.8,8.8,,,14,8.36,,,,0.477,15.2,1170,610,5.4,3.9,156,122,195,146,,,,1300,40.1,,,,,,,,,,,,,,,196,
,150x100x10 RHS,,R,UK,Steel,-,35.3,150,100,10,10,,,12,7,,,,0.474,13.5,1280,665,5.34,3.85,171,133,216,161,,,,1430,44.9,,,,,,,,,,,,,,,214,
,150x100x12.5 RHS,,R,UK,Steel,-,42.8,150,100,12.5,12.5,,,9,5,,,,0.468,10.9,1490,763,5.22,3.74,198,153,256,190,,,,1680,54.6,,,,,,,,,,,,,,,246,
,160x80x4 RHS,,R,UK,Steel,-,14.4,160,80,4,4,,,37,17,,,,0.47,32.6,612,207,5.77,3.35,76.5,51.7,94.7,58.3,,,,493,18.4,,,,,,,,,,,,,,,88.1,
,160x80x5 RHS,,R,UK,Steel,-,17.8,160,80,5,5,,,29,13,,,,0.467,26.2,744,249,5.72,3.31,93,62.3,116,71.1,,,,600,22.7,,,,,,,,,,,,,,,106,
,160x80x6.3 RHS,,R,UK,Steel,-,22.2,160,80,6.3,6.3,,,22.4,9.7,,,,0.464,20.9,903,299,5.66,3.26,113,74.8,142,86.8,,,,730,28.2,,,,,,,,,,,,,,,127,
,160x80x7.1 RHS,,R,UK,Steel,-,24.7,160,80,7.1,7.1,,,19.5,8.27,,,,0.462,18.7,994,327,5.62,3.22,124,81.7,158,95.9,,,,804,31.5,,,,,,,,,,,,,,,139,
,160x80x8 RHS,,R,UK,Steel,-,27.6,160,80,8,8,,,17,7,,,,0.459,16.6,1090,356,5.57,3.18,136,89,175,106,,,,883,35.2,,,,,,,,,,,,,,,151,
,160x80x8.8 RHS,,R,UK,Steel,-,30.1,160,80,8.8,8.8,,,15.2,6.09,,,,0.457,15.2,1170,379,5.53,3.15,147,94.9,189,114,,,,949,38.3,,,,,,,,,,,,,,,161,
,160x80x10 RHS,,R,UK,Steel,-,33.7,160,80,10,10,,,13,5,,,,0.454,13.5,1280,411,5.47,3.1,161,103,209,125,,,,1040,42.9,,,,,,,,,,,,,,,175,
,160x80x12.5 RHS,,R,UK,Steel,-,40.9,160,80,12.5,12.5,,,9.8,3.4,,,,0.448,11,1490,465,5.34,2.99,186,116,247,146,,,,1200,52.1,,,,,,,,,,,,,,,198,
,180x60x4 RHS,,R,UK,Steel,-,14.4,180,60,4,4,,,42,12,,,,0.47,32.6,697,121,6.16,2.56,77.4,40.3,99.8,45.2,,,,341,18.4,,,,,,,,,,,,,,,72.2,
,180x60x5 RHS,,R,UK,Steel,-,17.8,180,60,5,5,,,33,9,,,,0.467,26.2,846,144,6.1,2.52,94,48.1,122,54.9,,,,411,22.7,,,,,,,,,,,,,,,86.3,
,180x60x6.3 RHS,,R,UK,Steel,-,22.2,180,60,6.3,6.3,,,25.6,6.52,,,,0.464,20.9,1030,171,6.03,2.46,114,57,150,66.6,,,,495,28.2,,,,,,,,,,,,,,,102,
,180x60x7.1 RHS,,R,UK,Steel,-,24.7,180,60,7.1,7.1,,,22.4,5.45,,,,0.462,18.7,1130,186,5.99,2.43,126,61.9,166,73.3,,,,542,31.5,,,,,,,,,,,,,,,111,
,180x60x8 RHS,,R,UK,Steel,-,27.6,180,60,8,8,,,19.5,4.5,,,,0.459,16.6,1240,201,5.94,2.39,138,66.9,184,80.4,,,,590,35.2,,,,,,,,,,,,,,,120,
,180x60x8.8 RHS,,R,UK,Steel,-,30.1,180,60,8.8,8.8,,,17.5,3.82,,,,0.457,15.2,1330,212,5.89,2.35,148,70.8,199,86.2,,,,630,38.3,,,,,,,,,,,,,,,127,
,180x60x10 RHS,,R,UK,Steel,-,33.7,180,60,10,10,,,15,3,,,,0.454,13.5,1460,228,5.83,2.3,162,75.8,220,94.4,,,,683,42.9,,,,,,,,,,,,,,,137,
,180x60x12.5 RHS,,R,UK,Steel,-,40.9,180,60,12.5,12.5,,,11.4,1.8,,,,0.448,11,1680,251,5.68,2.2,187,83.7,260,109,,,,770,52.1,,,,,,,,,,,,,,,151,
,180x100x4 RHS,,R,UK,Steel,-,16.9,180,100,4,4,,,42,22,,,,0.55,32.5,945,379,6.61,4.19,105,75.9,128,85.2,,,,852,21.6,,,,,,,,,,,,,,,127,
,180x100x5 RHS,,R,UK,Steel,-,21,180,100,5,5,,,33,17,,,,0.547,26.1,1150,460,6.57,4.15,128,92,157,104,,,,1040,26.7,,,,,,,,,,,,,,,154,
,180x100x6.3 RHS,,R,UK,Steel,-,26.1,180,100,6.3,6.3,,,25.6,12.9,,,,0.544,20.8,1410,557,6.5,4.09,156,111,194,128,,,,1280,33.3,,,,,,,,,,,,,,,186,
,180x100x7.1 RHS,,R,UK,Steel,-,29.2,180,100,7.1,7.1,,,22.4,11.1,,,,0.542,18.5,1560,613,6.47,4.06,173,123,215,142,,,,1410,37.2,,,,,,,,,,,,,,,205,
,180x100x8 RHS,,R,UK,Steel,-,32.6,180,100,8,8,,,19.5,9.5,,,,0.539,16.5,1710,671,6.42,4.02,190,134,239,157,,,,1560,41.6,,,,,,,,,,,,,,,224,
,180x100x8.8 RHS,,R,UK,Steel,-,35.6,180,100,8.8,8.8,,,17.5,8.36,,,,0.537,15.1,1850,720,6.38,3.98,205,144,259,170,,,,1690,45.4,,,,,,,,,,,,,,,240,
,180x100x10 RHS,,R,UK,Steel,-,40,180,100,10,10,,,15,7,,,,0.534,13.4,2040,787,6.32,3.93,226,157,288,188,,,,1860,50.9,,,,,,,,,,,,,,,263,
,180x100x12.5 RHS,,R,UK,Steel,-,48.7,180,100,12.5,12.5,,,11.4,5,,,,0.528,10.8,2390,908,6.2,3.82,265,182,344,223,,,,2190,62.1,,,,,,,,,,,,,,,303,
,200x100x4 RHS,,R,UK,Steel,-,18.2,200,100,4,4,,,47,22,,,,0.59,32.4,1220,416,7.26,4.24,122,83.2,150,92.8,,,,983,23.2,,,,,,,,,,,,,,,142,
